movie_title,release_date,mpaa_rating,total_gross,inflation_adjusted_gross,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,total_gross_category,inflation_adjusted_gross_category
Snow White and the Seven Dwarfs,1937,G,184925485,5228953251,False,False,False,False,False,False,False,False,True,False,False,False,High,High
Pinocchio,1940,G,84300000,2188229052,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Fantasia,1940,G,83320000,2187090808,False,False,False,False,False,False,False,False,True,False,False,False,High,High
Song of the South,1946,G,65000000,1078510579,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Cinderella,1950,G,85000000,920608730,False,False,False,False,False,False,True,False,False,False,False,False,High,High
Lady and the Tramp,1955,G,93600000,1236035515,False,False,False,False,False,False,True,False,False,False,False,False,High,High
101 Dalmatians,1961,G,153000000,1362870985,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Babes in Toyland,1961,G,10218316,124841160,False,False,False,False,False,False,False,False,True,False,False,False,Low,High
Bon Voyage!,1962,Not Rated,9230769,109581646,False,False,False,True,False,False,False,False,False,False,False,False,Low,High
The Jungle Book,1967,Not Rated,141843000,789612346,False,False,False,False,False,False,False,False,True,False,False,False,High,High
The Aristocats,1970,G,55675257,255161499,False,False,False,False,False,False,False,False,True,False,False,False,Medium,High
Splash,1984,PG,62599495,157057661,False,False,False,True,False,False,False,False,False,False,False,False,Medium,High
Down and Out in Beverly Hills,1986,R,62134225,141183693,False,False,False,True,False,False,False,False,False,False,False,False,Medium,High
Ruthless People,1986,R,71624879,162748712,False,False,False,True,False,False,False,False,False,False,False,False,High,High
The Color of Money,1986,R,52293000,117957323,False,False,False,False,False,False,True,False,False,False,False,False,Medium,High
Outrageous Fortune,1987,R,52864741,113976921,False,False,False,True,False,False,False,False,False,False,False,False,Medium,High
Stakeout,1987,R,65673233,141592160,False,False,False,True,False,False,False,False,False,False,False,False,High,High
3 Men and a Baby,1987,PG,167780960,353334607,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Good Morning Vietnam,1987,R,123922370,254414837,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Return to Snowy River,1988,PG,13687027,28073384,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Big Business,1988,PG,40150487,82352451,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Who Framed Roger Rabbit?,1988,PG,154112492,316250084,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Cocktail,1988,R,78222753,160442289,False,False,False,False,False,False,True,False,False,False,False,False,High,High
Ernest Saves Christmas,1988,PG,28202109,57845202,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Oliver & Company,1988,G,49576671,102254492,False,True,False,False,False,False,False,False,False,False,False,False,Medium,High
Beaches,1988,PG-13,57041866,120381757,False,False,False,False,False,False,True,False,False,False,False,False,Medium,High
Three Fugitives,1989,PG-13,40590000,85757817,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
New York Stories,1989,PG,10763469,22740861,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Dead Poets Society,1989,PG,95860116,202531517,False,False,False,False,False,False,True,False,False,False,False,False,High,High
"Honey, I Shrunk the Kids",1989,PG,130724172,276191669,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Turner & Hooch,1989,PG,71079915,150176361,False,False,False,True,False,False,False,False,False,False,False,False,High,High
An Innocent Man,1989,R,19397847,40983414,False,False,False,False,False,False,True,False,False,False,False,False,Low,Medium
Gross Anatomy,1989,PG-13,11346186,23972012,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Little Mermaid,1989,G,111543479,223726012,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Blaze,1989,R,19049727,39884640,False,False,False,False,False,False,True,False,False,False,False,False,Low,Medium
Stella,1990,PG-13,20062347,40077147,False,False,False,False,False,False,True,False,False,False,False,False,Low,Medium
Pretty Woman,1990,R,178406268,356389765,False,False,False,False,False,False,False,False,False,True,False,False,High,High
Ernest Goes to Jail,1990,PG,25029569,49999822,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Spaced Invaders,1990,PG,15000000,29964452,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Fire Birds,1990,PG-13,14760451,29485923,True,False,False,False,False,False,False,False,False,False,False,False,Low,Low
Dick Tracy,1990,PG,103738726,207231621,True,False,False,False,False,False,False,False,False,False,False,False,High,High
Betsy's Wedding,1990,R,19740070,39433357,False,False,False,True,False,False,False,False,False,False,False,False,Low,Medium
Arachnophobia,1990,PG-13,53208180,106290270,False,False,False,False,False,False,False,False,False,False,True,False,Medium,High
DuckTales: The Movie - Treasure of th…,1990,G,18075331,36107823,False,True,False,False,False,False,False,False,False,False,False,False,Low,Medium
Taking Care of Business,1990,R,20005435,39963460,False,False,False,True,False,False,False,False,False,False,False,False,Low,Medium
Mr. Destiny,1990,PG-13,15379253,30722056,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Rescuers Down Under,1990,G,27931461,55796728,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
3 Men and a Little Lady,1990,PG,71609321,143108869,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Green Card,1990,PG-13,29804169,59679131,False,False,False,False,False,False,False,False,False,True,False,False,Medium,Medium
